in s,C1 in V
-4.0240E-06,2.28096E+00
-4.0236E-06,2.28584E+00
-4.0232E-06,2.29072E+00
-4.0228E-06,2.28096E+00
-4.0224E-06,2.27607E+00
-4.0220E-06,2.29561E+00
-4.0216E-06,2.29072E+00
-4.0212E-06,2.29561E+00
-4.0208E-06,2.28096E+00
-4.0204E-06,2.28096E+00
-4.0200E-06,2.28584E+00
-4.0196E-06,2.28096E+00
-4.0192E-06,2.29561E+00
-4.0188E-06,2.29561E+00
-4.0184E-06,2.28096E+00
-4.0180E-06,2.29561E+00
-4.0176E-06,2.29072E+00
-4.0172E-06,2.28096E+00
-4.0168E-06,2.29072E+00
-4.0164E-06,2.28584E+00
-4.0160E-06,2.28584E+00
-4.0156E-06,2.30049E+00
-4.0152E-06,2.28096E+00
-4.0148E-06,2.30537E+00
-4.0144E-06,2.28096E+00
-4.0140E-06,2.29072E+00
-4.0136E-06,2.27607E+00
-4.0132E-06,2.29561E+00
-4.0128E-06,2.28584E+00
-4.0124E-06,2.28584E+00
-4.0120E-06,2.28584E+00
-4.0116E-06,2.30049E+00
-4.0112E-06,2.28584E+00
-4.0108E-06,2.27607E+00
-4.0104E-06,2.27607E+00
-4.0100E-06,2.30049E+00
-4.0096E-06,2.28096E+00
-4.0092E-06,2.28584E+00
-4.0088E-06,2.27607E+00
-4.0084E-06,2.29072E+00
-4.0080E-06,2.28584E+00
-4.0076E-06,2.30537E+00
-4.0072E-06,2.28096E+00
-4.0068E-06,2.28584E+00
-4.0064E-06,2.29072E+00
-4.0060E-06,2.29561E+00
-4.0056E-06,2.28096E+00
-4.0052E-06,2.28584E+00
-4.0048E-06,2.29561E+00
-4.0044E-06,2.28096E+00
-4.0040E-06,2.28096E+00
-4.0036E-06,2.28096E+00
-4.0032E-06,2.29561E+00
-4.0028E-06,2.29072E+00
-4.0024E-06,2.29561E+00
-4.0020E-06,2.28584E+00
-4.0016E-06,2.30049E+00
-4.0012E-06,2.28584E+00
-4.0008E-06,2.27607E+00
-4.0004E-06,2.29561E+00
-4.0000E-06,2.26143E+00
-3.9996E-06,2.28096E+00
-3.9992E-06,2.27607E+00
-3.9988E-06,2.29072E+00
-3.9984E-06,2.29561E+00
-3.9980E-06,2.28096E+00
-3.9976E-06,2.29072E+00
-3.9972E-06,2.28096E+00
-3.9968E-06,2.28584E+00
-3.9964E-06,2.29561E+00
-3.9960E-06,2.29072E+00
-3.9956E-06,2.28584E+00
-3.9952E-06,2.28584E+00
-3.9948E-06,2.30049E+00
-3.9944E-06,2.29561E+00
-3.9940E-06,2.30537E+00
-3.9936E-06,2.28096E+00
-3.9932E-06,2.28584E+00
-3.9928E-06,2.29072E+00
-3.9924E-06,2.30049E+00
-3.9920E-06,2.28096E+00
-3.9916E-06,2.27119E+00
-3.9912E-06,2.29072E+00
-3.9908E-06,2.28096E+00
-3.9904E-06,2.28096E+00
-3.9900E-06,2.30537E+00
-3.9896E-06,2.27607E+00
-3.9892E-06,2.29072E+00
-3.9888E-06,2.28584E+00
-3.9884E-06,2.29561E+00
-3.9880E-06,2.29561E+00
-3.9876E-06,2.29561E+00
-3.9872E-06,2.29561E+00
-3.9868E-06,2.29561E+00
-3.9864E-06,2.29072E+00
-3.9860E-06,2.29561E+00
-3.9856E-06,2.28096E+00
-3.9852E-06,2.29561E+00
-3.9848E-06,2.28096E+00
-3.9844E-06,2.28584E+00
-3.9840E-06,2.29561E+00
-3.9836E-06,2.29072E+00
-3.9832E-06,2.29561E+00
-3.9828E-06,2.29072E+00
-3.9824E-06,2.30049E+00
-3.9820E-06,2.29561E+00
-3.9816E-06,2.30049E+00
-3.9812E-06,2.29561E+00
-3.9808E-06,2.28096E+00
-3.9804E-06,2.28096E+00
-3.9800E-06,2.29072E+00
-3.9796E-06,2.29072E+00
-3.9792E-06,2.29072E+00
-3.9788E-06,2.28584E+00
-3.9784E-06,2.29072E+00
-3.9780E-06,2.28096E+00
-3.9776E-06,2.29561E+00
-3.9772E-06,2.30537E+00
-3.9768E-06,2.30049E+00
-3.9764E-06,2.29561E+00
-3.9760E-06,2.29072E+00
-3.9756E-06,2.31025E+00
-3.9752E-06,2.29561E+00
-3.9748E-06,2.29561E+00
-3.9744E-06,2.30049E+00
-3.9740E-06,2.29561E+00
-3.9736E-06,2.29561E+00
-3.9732E-06,2.29561E+00
-3.9728E-06,2.29561E+00
-3.9724E-06,2.30049E+00
-3.9720E-06,2.29561E+00
-3.9716E-06,2.29561E+00
-3.9712E-06,2.30049E+00
-3.9708E-06,2.30537E+00
-3.9704E-06,2.29561E+00
-3.9700E-06,2.30049E+00
-3.9696E-06,2.29561E+00
-3.9692E-06,2.29561E+00
-3.9688E-06,2.27607E+00
-3.9684E-06,2.28584E+00
-3.9680E-06,2.29072E+00
-3.9676E-06,2.31025E+00
-3.9672E-06,2.28584E+00
-3.9668E-06,2.31025E+00
-3.9664E-06,2.30537E+00
-3.9660E-06,2.29561E+00
-3.9656E-06,2.29561E+00
-3.9652E-06,2.29072E+00
-3.9648E-06,2.29072E+00
-3.9644E-06,2.30537E+00
-3.9640E-06,2.30537E+00
-3.9636E-06,2.31025E+00
-3.9632E-06,2.29561E+00
-3.9628E-06,2.30049E+00
-3.9624E-06,2.31025E+00
-3.9620E-06,2.29072E+00
-3.9616E-06,2.29561E+00
-3.9612E-06,2.28584E+00
-3.9608E-06,2.28096E+00
-3.9604E-06,2.29072E+00
-3.9600E-06,2.29072E+00
-3.9596E-06,2.29072E+00
-3.9592E-06,2.30537E+00
-3.9588E-06,2.29561E+00
-3.9584E-06,2.28584E+00
-3.9580E-06,2.30537E+00
-3.9576E-06,2.30049E+00
-3.9572E-06,2.29561E+00
-3.9568E-06,2.30537E+00
-3.9564E-06,2.29561E+00
-3.9560E-06,2.30049E+00
-3.9556E-06,2.29072E+00
-3.9552E-06,2.31025E+00
-3.9548E-06,2.29561E+00
-3.9544E-06,2.28096E+00
-3.9540E-06,2.30049E+00
-3.9536E-06,2.28584E+00
-3.9532E-06,2.31025E+00
-3.9528E-06,2.29072E+00
-3.9524E-06,2.29561E+00
-3.9520E-06,2.30049E+00
-3.9516E-06,2.30049E+00
-3.9512E-06,2.30049E+00
-3.9508E-06,2.31025E+00
-3.9504E-06,2.30537E+00
-3.9500E-06,2.30049E+00
-3.9496E-06,2.29072E+00
-3.9492E-06,2.31025E+00
-3.9488E-06,2.29072E+00
-3.9484E-06,2.29072E+00
-3.9480E-06,2.29072E+00
-3.9476E-06,2.30537E+00
-3.9472E-06,2.28096E+00
-3.9468E-06,2.30537E+00
-3.9464E-06,2.30049E+00
-3.9460E-06,2.29072E+00
-3.9456E-06,2.30537E+00
-3.9452E-06,2.32002E+00
-3.9448E-06,2.31025E+00
-3.9444E-06,2.31514E+00
-3.9440E-06,2.29561E+00
-3.9436E-06,2.30537E+00
-3.9432E-06,2.29561E+00
-3.9428E-06,2.31025E+00
-3.9424E-06,2.30049E+00
-3.9420E-06,2.30537E+00
-3.9416E-06,2.29072E+00
-3.9412E-06,2.31025E+00
-3.9408E-06,2.29072E+00
-3.9404E-06,2.29561E+00
-3.9400E-06,2.29072E+00
-3.9396E-06,2.29561E+00
-3.9392E-06,2.29561E+00
-3.9388E-06,2.30049E+00
-3.9384E-06,2.29561E+00
-3.9380E-06,2.30537E+00
-3.9376E-06,2.31025E+00
-3.9372E-06,2.30049E+00
-3.9368E-06,2.30049E+00
-3.9364E-06,2.31025E+00
-3.9360E-06,2.30049E+00
-3.9356E-06,2.30537E+00
-3.9352E-06,2.30537E+00
-3.9348E-06,2.30537E+00
-3.9344E-06,2.29561E+00
-3.9340E-06,2.31025E+00
-3.9336E-06,2.29072E+00
-3.9332E-06,2.29561E+00
-3.9328E-06,2.29561E+00
-3.9324E-06,2.30049E+00
-3.9320E-06,2.28584E+00
-3.9316E-06,2.31025E+00
-3.9312E-06,2.28584E+00
-3.9308E-06,2.29072E+00
-3.9304E-06,2.30049E+00
-3.9300E-06,2.30049E+00
-3.9296E-06,2.30537E+00
-3.9292E-06,2.29561E+00
-3.9288E-06,2.30049E+00
