"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107446",
"Firmware Version","02.300",
"Date","2024-02-20",
"Time","13:07:15",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Peak Peak",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,V,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3016,,
"Current",,4.380000e-02,,
"Average No.",,1.000000e+03,,
"Min",,3.640000e-02,,
"Max",,7.100000e-02,,
"Mean",,4.385940e-02,,
"StdDev",,2.668600e-03,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,3.620000e-02,,
"Long term Max",,7.780000e-02,,
"Long term Mean",,4.396500e-02,,
"Long term StdDev",,2.727000e-03,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
491,,3.980000e-02,
492,,4.440000e-02,
493,,4.740000e-02,
494,,4.460000e-02,
495,,4.580000e-02,
496,,4.240000e-02,
497,,4.320000e-02,
498,,4.500000e-02,
499,,5.120000e-02,
500,,4.340000e-02,
501,,4.420000e-02,
502,,4.280000e-02,
503,,4.440000e-02,
504,,3.780000e-02,
505,,4.220000e-02,
506,,4.520000e-02,
507,,4.160000e-02,
508,,4.600000e-02,
509,,4.900000e-02,
510,,4.500000e-02,
511,,4.120000e-02,
512,,4.500000e-02,
513,,4.440000e-02,
514,,4.540000e-02,
515,,4.400000e-02,
516,,4.460000e-02,
517,,4.440000e-02,
518,,4.280000e-02,
519,,3.960000e-02,
520,,4.280000e-02,
521,,4.380000e-02,
522,,4.240000e-02,
523,,4.180000e-02,
524,,4.380000e-02,
525,,4.360000e-02,
526,,4.500000e-02,
527,,4.580000e-02,
528,,4.420000e-02,
529,,4.120000e-02,
530,,4.520000e-02,
531,,4.620000e-02,
532,,4.520000e-02,
533,,4.080000e-02,
534,,4.680000e-02,
535,,4.280000e-02,
536,,4.540000e-02,
537,,4.000000e-02,
538,,4.500000e-02,
539,,4.820000e-02,
540,,4.460000e-02,
541,,4.320000e-02,
542,,4.360000e-02,
543,,4.740000e-02,
544,,4.140000e-02,
545,,4.300000e-02,
546,,4.520000e-02,
547,,4.340000e-02,
548,,4.340000e-02,
549,,4.480000e-02,
550,,4.280000e-02,
551,,4.300000e-02,
552,,4.580000e-02,
553,,4.220000e-02,
554,,4.960000e-02,
555,,4.360000e-02,
556,,4.560000e-02,
557,,4.380000e-02,
558,,4.540000e-02,
559,,4.200000e-02,
560,,4.580000e-02,
561,,4.580000e-02,
562,,4.280000e-02,
563,,4.480000e-02,
564,,4.260000e-02,
565,,3.780000e-02,
566,,4.400000e-02,
567,,4.160000e-02,
568,,4.180000e-02,
569,,4.600000e-02,
570,,4.500000e-02,
571,,3.820000e-02,
572,,4.360000e-02,
573,,4.480000e-02,
574,,4.260000e-02,
575,,4.460000e-02,
576,,4.840000e-02,
577,,4.800000e-02,
578,,4.060000e-02,
579,,4.500000e-02,
580,,4.640000e-02,
581,,4.200000e-02,
582,,4.720000e-02,
583,,4.660000e-02,
584,,4.140000e-02,
585,,4.360000e-02,
586,,4.720000e-02,
587,,4.260000e-02,
588,,4.540000e-02,
589,,3.740000e-02,
590,,4.560000e-02,
591,,4.440000e-02,
592,,3.720000e-02,
593,,4.620000e-02,
594,,4.100000e-02,
595,,4.620000e-02,
596,,3.840000e-02,
597,,4.200000e-02,
598,,3.820000e-02,
599,,4.240000e-02,
600,,4.640000e-02,
601,,4.620000e-02,
602,,4.380000e-02,
603,,4.260000e-02,
604,,5.040000e-02,
605,,4.340000e-02,
606,,4.260000e-02,
607,,4.660000e-02,
608,,4.200000e-02,
609,,4.420000e-02,
610,,4.280000e-02,
611,,4.020000e-02,
612,,4.280000e-02,
613,,4.540000e-02,
614,,4.600000e-02,
615,,4.500000e-02,
616,,4.600000e-02,
617,,4.780000e-02,
618,,4.480000e-02,
619,,4.140000e-02,
620,,4.280000e-02,
621,,3.980000e-02,
622,,4.560000e-02,
623,,4.480000e-02,
624,,4.400000e-02,
625,,4.500000e-02,
626,,4.000000e-02,
627,,4.200000e-02,
628,,4.480000e-02,
629,,3.960000e-02,
630,,4.420000e-02,
